ticker,open,high,low,close,volume,vwap,timestamp,transactions,otc
CDNS,228.84,230.735,227.5,230.07,1184903.0,229.5506,1688673600000,30348.0,
CSCO,51.065,51.19,50.65,51.11,13933187.0,51.0231,1688673600000,94554.0,
RCA,25.14,25.15,25.13,25.14,12331.0,25.1376,1688673600000,68.0,
ASTR,5.8935,5.8935,5.43,5.55,104727.7333,5.583,1688673600000,4567.0,
QNCX,1.41,1.49,1.41,1.47,53015.0,1.4548,1688673600000,393.0,
AQNB,23.86,23.86,23.5,23.56,8696.0,23.5943,1688673600000,182.0,
CBON,21.61,21.64,21.61,21.625,5264.0,21.6212,1688673600000,71.0,
JNUG,32.0,32.0,30.37,30.63,1649290.0,30.8447,1688673600000,13527.0,
EEMX,29.87,29.87,29.63,29.63,6946.0,29.77,1688673600000,123.0,
IDYA,22.62,22.82,22.24,22.52,292811.0,22.5288,1688673600000,5869.0,
PGTI,27.7,27.88,27.14,27.33,713636.0,27.3415,1688673600000,11646.0,
TCAF,25.27,25.2997,25.14,25.29,31987.0,25.2549,1688673600000,105.0,
NVTA,1.09,1.1,1.03,1.05,13654696.0,1.054,1688673600000,17028.0,
ES,71.04,71.54,70.23,71.38,2015537.0,71.2125,1688673600000,27452.0,
DLO,12.16,12.16,11.59,11.94,1107656.0,11.8557,1688673600000,15024.0,
ENPH,163.0,164.3349,160.06,161.38,3044314.0,161.6404,1688673600000,64023.0,
RSPH,29.422,29.422,29.204,29.2973,55800.0,29.2852,1688673600000,226.0,
CIVB,17.17,17.17,16.61,16.75,48481.0,16.7935,1688673600000,1108.0,
PGZ,9.57,9.57,9.42,9.52,43154.0,9.4805,1688673600000,221.0,
NVMI,111.47,112.075,110.06,111.67,184505.0,111.4814,1688673600000,3985.0,
ENG,2.92,2.92,2.72,2.7208,16918.0,2.8,1688673600000,330.0,
PCRX,38.3,38.6875,37.83,38.32,451730.0,38.2691,1688673600000,9586.0,
XHB,78.39,78.5,77.13,77.67,3926256.0,77.6417,1688673600000,42414.0,
AGMpF,22.21,22.21,21.18,21.18,1915.0,21.2768,1688673600000,27.0,
IWS,108.71,108.82,107.775,108.79,214983.0,108.3925,1688673600000,2546.0,
HD,306.84,307.98,301.54,302.02,4831220.0,303.4859,1688673600000,88164.0,
FUV,1.48,1.48,1.37,1.43,143213.0,1.4091,1688673600000,1013.0,
IOSP,98.49,98.94,97.15,98.35,59034.0,98.1851,1688673600000,1809.0,
COFpJ,18.1,18.22,17.6,17.79,180496.0,17.7304,1688673600000,1586.0,
PAPR,30.75,30.81,30.67,30.783,290785.0,30.7757,1688673600000,281.0,
TCRX,2.31,2.42,2.2,2.34,175114.0,2.3368,1688673600000,966.0,
KE,26.92,27.47,26.77,27.41,68339.0,27.2065,1688673600000,1937.0,
VNOpL,15.03,15.08,14.7,14.89,18433.0,14.8403,1688673600000,138.0,
WKSP,25.4,25.5,24.8,25.3,4946.3,25.054,1688673600000,318.0,
QQEW,105.72,105.72,104.7486,105.51,194256.0,105.2939,1688673600000,1475.0,
CVLT,71.72,72.2,71.25,72.03,186947.0,71.9315,1688673600000,6643.0,
LQD,105.88,105.9374,105.35,105.64,35240761.0,105.6308,1688673600000,125313.0,
CLNN,16.4,17.0,16.22,16.4,28309.05,16.474,1688673600000,1627.0,
WOLF,61.0,62.45,58.67,58.92,5028467.0,59.8283,1688673600000,60587.0,
ERO,19.55,19.92,19.16,19.64,143374.0,19.5231,1688673600000,2061.0,
RETL,6.9,7.01,6.701,6.87,345164.0,6.8447,1688673600000,2150.0,
AMRS,1.06,1.06,0.9899,1.01,2031428.0,1.0166,1688673600000,4555.0,
AFT,12.88,12.8932,12.75,12.8,48191.0,12.7947,1688673600000,377.0,
KNSL,367.33,372.46,365.86,368.88,213017.0,368.7115,1688673600000,7048.0,
XHE,95.78,95.78,94.18,94.62,261107.0,94.5621,1688673600000,1635.0,
CII,18.5,18.555,18.17,18.38,78225.0,18.3525,1688673600000,673.0,
TALS,30.5,31.1,30.0,30.3,26088.3,30.429,1688673600000,1983.0,
MSpK,23.56,23.6599,23.37,23.43,97718.0,23.4435,1688673600000,862.0,
VRE,16.03,16.34,15.84,16.32,516833.0,16.2278,1688673600000,4507.0,
IXUS,61.36,61.39,60.8365,61.13,1674716.0,61.0853,1688673600000,8412.0,
JULD,24.71,24.72,24.58,24.694,11418.0,24.6808,1688673600000,87.0,
CHPT,8.64,8.7199,8.09,8.66,13087467.0,8.4078,1688673600000,72864.0,
MEAR,49.79,49.85,49.79,49.81,97163.0,49.8268,1688673600000,471.0,
PGP,7.26,7.27,7.16,7.23,36882.0,7.2073,1688673600000,216.0,
KLDW,39.72,39.72,39.43,39.6679,11584.0,39.5513,1688673600000,91.0,
WTAI,18.84,18.84,18.5273,18.76,169956.0,18.667,1688673600000,750.0,
OESX,1.54,1.61,1.54,1.6,36255.0,1.574,1688673600000,173.0,
UGI,26.5,26.72,26.26,26.51,1996074.0,26.4542,1688673600000,22022.0,
YCL,27.47,27.47,27.2505,27.47,12477.0,27.4215,1688673600000,174.0,
AGTI,15.6,15.91,15.43,15.88,145805.0,15.7215,1688673600000,3061.0,
PW,1.64,1.67,1.57,1.6,8103.0,1.6093,1688673600000,132.0,
STCN,7.66,8.1162,7.66,8.1,9413.0,7.8952,1688673600000,135.0,
BST,34.44,34.45,33.8,34.06,77793.0,34.089,1688673600000,1419.0,
NSpB,24.5,24.5,24.36,24.38,17333.0,24.4511,1688673600000,102.0,
NYMTM,21.35,21.4868,21.26,21.29,2902.0,21.3587,1688673600000,48.0,
ARGD,22.48,22.48,22.19,22.39,5694.0,22.3952,1688673600000,91.0,
SWX,63.61,64.08,63.435,63.87,525687.0,63.8665,1688673600000,7253.0,
LSXMK,32.58,32.81,32.37,32.78,947548.0,32.6649,1688673600000,11306.0,
IJT,112.73,112.7381,111.3501,112.36,108310.0,112.0952,1688673600000,1503.0,
CMAX,83.1,84.0,76.2,80.25,8071.6,79.695,1688673600000,2581.0,
MVF,6.71,6.73,6.66,6.7,100394.0,6.6843,1688673600000,599.0,
SCI,63.8,64.48,63.475,64.38,978037.0,64.1036,1688673600000,14591.0,
SCHWpJ,19.53,19.57,19.24,19.39,47318.0,19.3418,1688673600000,439.0,
LVS,54.3,54.8,53.465,54.72,6601659.0,54.1779,1688673600000,67086.0,
IBB,126.04,126.13,124.56,125.45,1598831.0,125.3751,1688673600000,26253.0,
WSFS,37.26,37.33,36.4289,36.74,207421.0,36.7047,1688673600000,5396.0,
NRBO,3.68,3.68,3.44,3.5104,11128.375,3.5064,1688673600000,204.0,
CFB,10.23,10.4,10.12,10.32,79061.0,10.2852,1688673600000,1951.0,
