ticker,name,sector,exchange,industry
NASDAQ:WBD,WBD,Consumer Services,NASDAQ,Cable/Satellite TV
NYSE:F,F,Consumer Durables,NYSE,Motor Vehicles
NYSE:BBAI,BBAI,Technology Services,NYSE,Packaged Software
AMEX:PSLV,PSLV,Miscellaneous,AMEX,Investment Trusts/Mutual Funds
NYSE:VALE,VALE,Non-Energy Minerals,NYSE,Steel
NYSE:ACHR,ACHR,Electronic Technology,NYSE,Aerospace & Defense
NASDAQ:NVTS,NVTS,Electronic Technology,NASDAQ,Semiconductors
NASDAQ:PARA,PARA,Consumer Services,NASDAQ,Broadcasting
NYSE:NIO,NIO,Consumer Durables,NYSE,Motor Vehicles
NASDAQ:LCID,LCID,Consumer Durables,NASDAQ,Motor Vehicles
NYSE:COUR,COUR,Technology Services,NYSE,Internet Software/Services
NYSE:SNAP,SNAP,Technology Services,NYSE,Packaged Software
NASDAQ:AGNC,AGNC,Finance,NASDAQ,Real Estate Investment Trusts
NASDAQ:RXRX,RXRX,Health Technology,NASDAQ,Biotechnology
NYSE:ITUB,ITUB,Finance,NYSE,Major Banks
AMEX:UUUU,UUUU,Non-Energy Minerals,AMEX,Other Metals/Minerals
NYSE:CX,CX,Non-Energy Minerals,NYSE,Construction Materials
NASDAQ:WULF,WULF,Technology Services,NASDAQ,Data Processing Services
AMEX:DNN,DNN,Non-Energy Minerals,AMEX,Other Metals/Minerals
NYSE:GNW,GNW,Finance,NYSE,Multi-Line Insurance
NYSE:AG,AG,Non-Energy Minerals,NYSE,Precious Metals
NYSE:SAN,SAN,Finance,NYSE,Major Banks
NYSE:AMCR,AMCR,Process Industries,NYSE,Containers/Packaging
NASDAQ:CIFR,CIFR,Technology Services,NASDAQ,Data Processing Services
NASDAQ:GRAB,GRAB,Transportation,NASDAQ,Air Freight/Couriers
NYSE:BTE,BTE,Energy Minerals,NYSE,Integrated Oil
NYSE:BBD,BBD,Finance,NYSE,Major Banks
AMEX:BTG,BTG,Non-Energy Minerals,AMEX,Precious Metals
AMEX:NGD,NGD,Non-Energy Minerals,AMEX,Precious Metals
NYSE:ADT,ADT,Commercial Services,NYSE,Miscellaneous Commercial Services
AMEX:UEC,UEC,Non-Energy Minerals,AMEX,Other Metals/Minerals
NYSE:YMM,YMM,Technology Services,NYSE,Packaged Software
NYSE:CNH,CNH,Producer Manufacturing,NYSE,Trucks/Construction/Farm Machinery
NYSE:SBSW,SBSW,Non-Energy Minerals,NYSE,Precious Metals
NYSE:FSM,FSM,Non-Energy Minerals,NYSE,Precious Metals
NASDAQ:WBA,WBA,Retail Trade,NASDAQ,Drugstore Chains
NYSE:HLN,HLN,Health Technology,NYSE,Pharmaceuticals: Major
NYSE:IAG,IAG,Non-Energy Minerals,NYSE,Precious Metals
NYSE:HBM,HBM,Non-Energy Minerals,NYSE,Other Metals/Minerals
NYSE:FLG,FLG,Finance,NYSE,Savings Banks
AMEX:EQX,EQX,Non-Energy Minerals,AMEX,Precious Metals
NYSE:SAND,SAND,Finance,NYSE,Financial Conglomerates
NASDAQ:VOD,VOD,Communications,NASDAQ,Wireless Telecommunications
NYSE:WU,WU,Finance,NYSE,Regional Banks
NYSE:HL,HL,Non-Energy Minerals,NYSE,Precious Metals
NASDAQ:EOSE,EOSE,Producer Manufacturing,NASDAQ,Electrical Products
NYSE:RITM,RITM,Finance,NYSE,Real Estate Investment Trusts
NYSE:RIG,RIG,Industrial Services,NYSE,Contract Drilling
NYSE:NOK,NOK,Electronic Technology,NYSE,Telecommunications Equipment
NYSE:UAA,UAA,Consumer Non-Durables,NYSE,Apparel/Footwear
NYSE:ABEV,ABEV,Consumer Non-Durables,NYSE,Beverages: Alcoholic
NASDAQ:IOVA,IOVA,Health Technology,NASDAQ,Biotechnology
NYSE:CDE,CDE,Non-Energy Minerals,NYSE,Precious Metals
NASDAQ:GT,GT,Consumer Durables,NASDAQ,Automotive Aftermarket
NASDAQ:AUR,AUR,Technology Services,NASDAQ,Packaged Software
NYSE:NWG,NWG,Finance,NYSE,Major Banks
NASDAQ:LX,LX,Finance,NASDAQ,Finance/Rental/Leasing
OTC:FNMA,FNMA,Finance,OTC,Finance/Rental/Leasing
NASDAQ:VLY,VLY,Finance,NASDAQ,Major Banks
NASDAQ:TIGR,TIGR,Finance,NASDAQ,Investment Banks/Brokers
NASDAQ:JBLU,JBLU,Transportation,NASDAQ,Airlines
NASDAQ:ERIC,ERIC,Electronic Technology,NASDAQ,Telecommunications Equipment
NYSE:FUBO,FUBO,Technology Services,NYSE,Internet Software/Services
NYSE:EXK,EXK,Non-Energy Minerals,NYSE,Precious Metals
NYSE:UMC,UMC,Electronic Technology,NYSE,Semiconductors
AMEX:IE,IE,Non-Energy Minerals,AMEX,Other Metals/Minerals
NYSE:NXE,NXE,Non-Energy Minerals,NYSE,Other Metals/Minerals
NYSE:ASX,ASX,Electronic Technology,NYSE,Semiconductors
NYSE:PBR.A,PBR.A,Energy Minerals,NYSE,Integrated Oil
NASDAQ:OXLC,OXLC,Miscellaneous,NASDAQ,Investment Trusts/Mutual Funds
NASDAQ:IQ,IQ,Technology Services,NASDAQ,Internet Software/Services
NASDAQ:PTON,PTON,Consumer Services,NASDAQ,Other Consumer Services
NYSE:LYG,LYG,Finance,NYSE,Major Banks
OTC:RYCEY,RYCEY,Electronic Technology,OTC,Aerospace & Defense
NASDAQ:CCCS,CCCS,Technology Services,NASDAQ,Packaged Software
NYSE:PL,PL,Technology Services,NYSE,Packaged Software
NASDAQ:GTX,GTX,Producer Manufacturing,NASDAQ,Auto Parts: OEM
NASDAQ:PTEN,PTEN,Industrial Services,NASDAQ,Contract Drilling
NYSE:PBI,PBI,Technology Services,NYSE,Packaged Software
NASDAQ:HTZ,HTZ,Finance,NASDAQ,Finance/Rental/Leasing
NASDAQ:ARRY,ARRY,Electronic Technology,NASDAQ,Semiconductors
NYSE:LUMN,LUMN,Communications,NYSE,Major Telecommunications
NYSE:AEG,AEG,Finance,NYSE,Multi-Line Insurance
NYSE:DX,DX,Finance,NYSE,Real Estate Investment Trusts
NASDAQ:ROIV,ROIV,Health Technology,NASDAQ,Pharmaceuticals: Major
NYSE:OLO,OLO,Technology Services,NYSE,Packaged Software
NASDAQ:VTRS,VTRS,Health Technology,NASDAQ,Pharmaceuticals: Major
NASDAQ:GTM,GTM,Technology Services,NASDAQ,Packaged Software
NYSE:AQN,AQN,Utilities,NYSE,Electric Utilities
NYSE:PAGS,PAGS,Commercial Services,NYSE,Miscellaneous Commercial Services
NASDAQ:OCUL,OCUL,Health Technology,NASDAQ,Pharmaceuticals: Major
NYSE:AMC,AMC,Consumer Services,NYSE,Movies/Entertainment
NYSE:GENI,GENI,Technology Services,NYSE,Internet Software/Services
NYSE:COMP,COMP,Technology Services,NYSE,Packaged Software
NASDAQ:CLOV,CLOV,Finance,NASDAQ,Life/Health Insurance
NASDAQ:IBRX,IBRX,Health Technology,NASDAQ,Pharmaceuticals: Major
NASDAQ:NEXT,NEXT,Energy Minerals,NASDAQ,Oil & Gas Production
NYSE:LXP,LXP,Finance,NYSE,Real Estate Investment Trusts
NASDAQ:ABCL,ABCL,Health Technology,NASDAQ,Biotechnology
NASDAQ:BCRX,BCRX,Health Technology,NASDAQ,Biotechnology
NASDAQ:NWL,NWL,Producer Manufacturing,NASDAQ,Industrial Machinery
NASDAQ:MLCO,MLCO,Consumer Services,NASDAQ,Hotels/Resorts/Cruise lines
NYSE:AMBP,AMBP,Process Industries,NYSE,Containers/Packaging
NYSE:GGB,GGB,Non-Energy Minerals,NYSE,Steel
NYSE:MPW,MPW,Finance,NYSE,Real Estate Investment Trusts
NYSE:WIT,WIT,Technology Services,NYSE,Information Technology Services
OTC:BAYRY,BAYRY,Health Technology,OTC,Pharmaceuticals: Major
NASDAQ:COMM,COMM,Electronic Technology,NASDAQ,Telecommunications Equipment
NYSE:DRH,DRH,Finance,NYSE,Real Estate Investment Trusts
NASDAQ:SANA,SANA,Health Technology,NASDAQ,Biotechnology
NYSE:BB,BB,Technology Services,NYSE,Packaged Software
NASDAQ:FOLD,FOLD,Health Technology,NASDAQ,Pharmaceuticals: Major
NASDAQ:GOGL,GOGL,Transportation,NASDAQ,Marine Shipping
NYSE:COTY,COTY,Consumer Non-Durables,NYSE,Household/Personal Care
NASDAQ:MQ,MQ,Commercial Services,NASDAQ,Miscellaneous Commercial Services
NASDAQ:LBTYA,LBTYA,Communications,NASDAQ,Major Telecommunications
NASDAQ:SSRM,SSRM,Non-Energy Minerals,NASDAQ,Precious Metals
NYSE:VIV,VIV,Communications,NYSE,Wireless Telecommunications
